ID,Domain,Method,Endpoint,Backend,Auth,Purpose (verify),Request,Response fields read,Call sites,Used in files,Co-called with,Vuex side effects,Issues,Disposition,Proposed /ops/v3 endpoint,Owner,Status,Notes
A-011,Agent & Attendance,GET,get/agent,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches agent — called from get_agents_by_id(),query: id,data (raw),1,store.js,,commits: LOADING_API,raw response.data consumed (no envelope),,,,Not started,
A-012,Agent & Attendance,GET,getAgents,LEGACY · api.on-track.in/api,Static Basic (hardcoded),"Fetches Agents — called from get_agents(), get_agents_by_id()","query: id, status",data (raw),3,store.js | store/modules/booking.js,,"commits: GET_AGENT, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-013,Agent & Attendance,POST,getAgents,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Agents — called from checkAuthentication(),body: id,data (raw),2,store.js | store/modules/booking.js,,"commits: GET_AGENT, LOADING_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-014,Agent & Attendance,POST,getAgentsActivity,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Agents Activity — called from getExtendHistory(),body: <payload> (variable — inspect at runtime),"(not read, or read indirectly)",1,store.js,GET tickets/:id,,LEGACY backend; POST used for a read,,,,Not started,
A-015,Analytics & Attribution,GET,/attribution/anonymous/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches anonymous — called from fetchData(),(none detected),"(not read, or read indirectly)",1,components/customers/trafficAttribution.vue,,,,,,,Not started,
A-016,Analytics & Attribution,GET,attribution/analytics/traffic-attribution,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches traffic-attribution — called from fetchData(),"query: endDate, startDate",data (raw),1,views/TrafficAttribution.vue,,,raw response.data consumed (no envelope),Migrated,GET attribution/analytics/traffic-attribution (unchanged),,Done (Traffic Attribution),"Ported to src/services/reports/trafficAttribution.api.js + src/pages/reports/TrafficAttributionPage.vue (/traffic-attribution, By Traffic mode). Response confirmed 2026-09-24 from a sample: totals/bySource/bySourceMedium/bySourceCampaign/byPlatform/byAttributionType, each row with count/previousCount/changePercent/trend (group rows add signedUp/converted). Date presets now live in src/utils/dateRange.js instead of vue2-daterange-picker. The CSV now escapes values (the old one joined cells with raw commas)."
A-017,Analytics & Attribution,GET,attribution/analytics/traffic-attribution-by-value,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches traffic-attribution-by-value — called from fetchData(),"query: endDate, sortBy, sortOrder, startDate",data (raw),1,views/TrafficAttributionByValue.vue,,,raw response.data consumed (no envelope),Migrated,GET attribution/analytics/traffic-attribution-by-value (unchanged),,Done (Traffic Attribution),"Ported into the same page as A-016 (By Value mode, ?metric=value). Shape taken from backend getTrafficAttributionStatsByValue: rows carry signup_conversion_rate/booking_conversion_rate strings and no trend. Not yet confirmed with a live response."
A-018,Analytics & Attribution,GET,operations/analytics/rentals/metrics,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches metrics — called from getRentalMetrics(),"query: endDate, startDate","(not read, or read indirectly)",1,views/reports/ReportHome.vue,,,,,,,Not started,
A-019,Auth,GET,/outreach/user/loggedin/info,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches info — called from created(),(none detected),"(not read, or read indirectly)",1,components/profile.vue,,,,Migrated (merged with A-020),GET /outreach/user/loggedin/info (unchanged),,Done (Phase 1),"Both call sites (profile-style direct call, store-driven session bootstrap) consolidated into src/services/auth/auth.api.js::fetchLoggedInUser(), used by src/stores/auth.store.js::restoreSession() on app load / hard refresh to validate a persisted token and hydrate the user before entering a protected route. Response CONFIRMED live 2026-09-18: raw object { id, userName, name, role, displayPicture, status, dob, doj, email, mobile, isOnline, token, alertForRSA, employeeID, canUpdateCollectionInfo, lessor, createdAt, updatedAt } — displayPicture/name/role now used by AppLayout.vue's avatar/name/role display."
A-020,Auth,GET,outreach/user/loggedin/info,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches info — called from init(),(none detected),data (raw),1,store.js,,"commits: LOADING_API, UPDATE_LOGIN",raw response.data consumed (no envelope),Migrated (merged with A-019),GET /outreach/user/loggedin/info (unchanged),,Done (Phase 1),Same endpoint as A-019; see that row.
A-021,Bookings,POST,//getBookingByQuery,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Booking By Query — called from get_completed_booking_by_vehicle(),"body: Authorization, status, vehicle","(not read, or read indirectly)",1,store.js,POST operations/getBookings,commits: LOADING_API,LEGACY backend; malformed URL (double/triple slash),,,,Not started,
A-022,Bookings,POST,/operations/booking/end/send-pin-generation-link,v2 · glacier.on-track.in/api,Bearer agentToken,Submits send-pin-generation-link — called from sendOTPGenerationLink(),body: bookingId,"(not read, or read indirectly)",1,components/endbooking.vue,,,,Migrated (as-is),POST /ops/v3/bookings/:id/end/send-pin-link,,Done,Ported to endBooking.api.js::sendPinGenerationLink(). Confirmed live 2026-09-07 (Step 2 alert/CTA rendered correctly for a booking with no dropPin set yet).
A-023,Bookings,PUT,/operations/booking/update-delivery,v2 · glacier.on-track.in/api,Bearer agentToken,Updates -delivery — called from updateDelivery(),body: <payload> (variable — inspect at runtime),"data.error, data.message",1,components/UpdateDeliveryTypeModal.vue,,,,Migrated,PUT /operations/booking/update-delivery (unchanged),,Done (Phase 1 — Booking detail),Ported to ontrack-ops-v3 src/services/bookings/bookingDetail.api.js::updateDeliveryType() + src/components/bookings/detail/UpdateDeliveryTypeDialog.vue. Not exercised live this session (mutating).
A-024,Bookings,GET,/operations/bookings,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches bookings — called from updateQueryParamUrl(),"query: limit, locations, models, offset, plan_types, searchQuery, sortOrder, statuses","{ count, rows }; row: id, bookingId, customer/vehicle/model (ids), status (numeric), startDate, endDate, amount + embedded customerData/vehicleData/modelData — CONFIRMED live 2026-09-07",1,components/bookings.vue,,,,Migrated,GET /operations/bookings (unchanged),,Done (Phase 2 — Bookings list),Ported to ontrack-ops-v3 src/services/bookings/bookings.api.js + src/stores/bookings.store.js + src/pages/bookings/BookingsPage.vue. Row shape confirmed against the live backend (search/limit/offset only wired; locations/models/plan_types/statuses/sortOrder filters not wired — no documented valid values).
A-025,Bookings,POST,/operations/cancelBooking/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits cancel Booking — called from cancelBooking(),body: <payload> (variable — inspect at runtime),"(not read, or read indirectly)",2,components/AllBookingDetailsV2.vue | components/allbookingdetails.vue,,,,Migrated,POST /operations/cancelBooking/:id (unchanged),,Done (Phase 1 — Booking detail),Ported to bookingDetail.api.js::cancelBooking() + BookingDetailPage.vue cancel dialog. Not exercised live this session (mutating).
A-026,Bookings,POST,/operations/endbooking,v2 · glacier.on-track.in/api,Bearer agentToken,Submits endbooking — called from confirmEndBooking(),"body: absconding, blacklist, bookingEndComment, forcefullyRecovered, otp","data.error, data.message",1,components/endbooking.vue,,,,Migrated (as-is),POST /ops/v3/bookings/:id/end,,Done,"Ported to endBooking.api.js::submitEndBooking(). Response shape { error, message } confirmed from old app source. NOT fired live this session (mutating, terminal action) — code-reviewed only."
A-027,Bookings,POST,/operations/getBookings,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits Bookings — called from fetchBooking(), getBookingData()","query: limit · body: bookingId, customer, paymentStatus","(not read, or read indirectly)",3,components/AllBookingDetailsV2.vue | components/UpdateDeliveryTypeModal.vue | components/createBooking.vue,GET /locations,,POST used for a read; called from 3 files,,,,Not started,
A-028,Bookings,POST,/operations/modifyBooking,v2 · glacier.on-track.in/api,Bearer agentToken,Submits modify Booking — called from updateBooking(),"body: HH, amount, bookingId, collectedAmount, comment, model, newEndDate, null, paymentId, paymentReceivedOn, paymentSource, paymentStatus, reason, refundId, refundedAmount, transactionType, type, vehicle","(not read, or read indirectly)",1,components/modifyBooking.vue,,,,Migrated,POST /operations/modifyBooking (unchanged),,Done (Phase 1 — Modify booking),"Ported to ontrack-ops-v3 src/services/bookings/modifyBooking.api.js::submitModifyBooking() + src/pages/bookings/ModifyBookingPage.vue. One endpoint, type-discriminated (extend/exchange), exactly as the old app calls it. Not exercised live this session (mutating)."
A-029,Bookings,POST,/operations/modifybooking/exchangeVehicleImage/upload,v2 · glacier.on-track.in/api,Bearer agentToken,Submits upload — called from uploadExchangeVehicleImage(),body: <fd> (variable — inspect at runtime),"(not read, or read indirectly)",1,components/modifyBooking.vue,,,,Migrated,POST /operations/modifybooking/exchangeVehicleImage/upload (unchanged),,Done (Phase 1 — Modify booking),"Ported to modifyBooking.api.js::uploadExchangeVehicleImage(), used by ModifyBookingPage.vue's Exchange details dialog. Not exercised live this session (mutating)."
A-030,Bookings,POST,/operations/preBookingData/,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits pre Booking Data — called from confirmAssign(), submitForm()",query: id,"data (raw), data.message",2,components/assignVehicle2.vue | views/bookings/preBookingData.vue,,  dispatches: assignVehicle,,Migrated,POST /operations/preBookingData/ (unchanged),,Done (Phase 1 — Assign vehicle + Pre-booking data edit),"Ported to two v3 call sites matching the old app's two real call shapes: assignVehicle.api.js::submitPreBookingData() (all 6 images incl. odometer, ""Assign Vehicle - "" comment prefix, used by AssignVehiclePage.vue) and preBookingData.api.js::updatePreBookingData() (5 images only, partial-update — only re-selected images are sent, no odometer field, no comment prefix, used by PreBookingDataPage.vue for editing an already-assigned booking's data). Neither call fired live this session (mutating)."
A-031,Bookings,POST,/operations/revertBooking/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits revert Booking — called from reinitiate_booking(),body: description,data.message,2,components/AllBookingDetailsV2.vue | components/allbookingdetails.vue,,,,Migrated,POST /operations/revertBooking/:id (unchanged),,Done (Phase 1 — Booking detail),Ported to bookingDetail.api.js::reinitiateBooking() + BookingDetailPage.vue reinitiate dialog. Not exercised live this session (mutating).
A-032,Bookings,GET,/outreach/bookings/expired/map-data,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches map-data — called from loadVehicles(),(none detected),"(not read, or read indirectly)",1,views/vehicles/gpsTrackerList.vue,,,,Migrated (fixed),GET /ops/v3/vehicles/gps-tracker,,Done (Phase 2 — GPS Tracker),"Ported to gpsTracker.api.js::fetchTrackedVehicles(), used by GpsTrackerPage.vue. THREE REAL BUGS FOUND & FIXED (not replicated), all previously flagged by the Phase 2 audit as likely making this page broken in production today: (1) the marker v-if referenced `vehicle` at a template scope where it wasn't defined yet (before the v-for that declares it) — replaced with imperative marker sync keyed off a `vehiclesWithGpsData` computed, so this class of bug can't recur; (2) selectVehicle() read `vehicle.lat`/`vehicle.lng`, which don't exist on the real response — the real coordinates are `vehicle.gpsData.lat`/`.lng` — fixed; (3) scrollToVehicle() looked up `vehicle.id`, but list items are keyed by `vehicle.vehicleId` — fixed. Also: hardcoded London fallback center replaced with Bangalore; dead `centerMapOnMyLocation()` (defined but never wired to a button) now has a real 'My Location' button. Uses the raw `google.maps` API directly (new src/services/googleMapsLoader.js) instead of a Vue-Maps wrapper library, since `vue2-google-maps` (the old app's dependency) has no maintained Vue 3 equivalent already in this project. Verified live 2026-09-07: vehicle list + status-filter reload both confirmed against real data (Active vs Upcoming showed different real bookings), zero console errors. The map/marker rendering itself was NOT live-verified — VITE_GOOGLE_MAPS_API_KEY is unset in this environment, so the page correctly shows its 'Map unavailable' fallback instead of crashing; needs a real key to verify marker placement/click-to-center end to end."
A-033,Bookings,POST,/v2/booking/upload-image-mandatory/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits upload-image-mandatory — called from confirmUpload(),body: <payload> (variable — inspect at runtime),"(not read, or read indirectly)",1,components/endbooking.vue,,,,Migrated (as-is),POST /ops/v3/booking-line-items/:id/images,,Done,"Ported to endBooking.api.js::uploadMandatoryImage() (multipart FormData: image, type). NOT fired live this session (mutating) — code-reviewed only."
A-034,Bookings,POST,booking/:id/vehicle/assign,v2 · glacier.on-track.in/api,Bearer agentToken,Submits assign — called from assignVehicle(),body: <payload.data> (variable — inspect at runtime),data (raw),1,store.js,,commits: LOADING_API,raw response.data consumed (no envelope),Migrated,POST booking/:id/vehicle/assign (unchanged),,Done (Phase 1 — Assign vehicle),Ported to assignVehicle.api.js::assignVehicleToBooking(). Not exercised live this session (mutating).
A-035,Bookings,GET,bookingLineItems,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches booking Line Items — called from get_booking_line_item(),query: booking,data (raw),1,store/modules/booking.js,,"commits: GET_BOOKING_LINE_ITEM, LOADING_API, LOADING_CUSTOMER",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-036,Bookings,POST,getBookingById,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Booking By Id — called from get_booking_by_id(),body: id,data (raw),1,store/modules/booking.js,,"commits: GET_BOOKING_BY_ID, LOADING_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-037,Bookings,POST,getBookingByQuery,LEGACY · api.on-track.in/api,Static Basic (hardcoded),"Submits Booking By Query — called from get_booking_by_customer(), get_booking_by_query(), get_booking_by_vehicle()","body: customer, paymentStatus, status, vehicle","data (raw), data.length",6,store.js | store/modules/booking.js,POST operations/getBookings,"commits: GET_BOOKING_BY_CUSTOMER, GET_BOOKING_BY_VEHICLE, GET_COMPLETED_BOOKING_BY_VEHICLE, GET_NEW_BOOKING, LOADING_API, LOADING_COMPLETED, LOADING_CUSTOMER, LOADING_VEHICLE",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-038,Bookings,POST,getBookingList,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Booking List — called from get_bookings(),"body: paymentStatus, status",data (raw),1,store/modules/booking.js,,"commits: GET_BOOKING, LOADING_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-039,Bookings,POST,https://api.on-track.in/api/booking/:id,bare axios · absolute URL,None,Submits booking — called from createBooking(),"body: endDate, model, startDate, status, vehicle",data (raw),1,components/assignVehicle.vue,POST https://api.on-track.in/api/createActivity | POST https://api.on-track.in/api/flagActiveToRepute | POST https://api.on-track.in/api/sendConfirmationEmail | POST https://api.on-track.in/api/vehicle/:id,,"bypasses shared client (absolute URL, no interceptor, no 401 handling); raw response.data consumed (no envelope)",,,,Not started,
A-040,Bookings,POST,https://api.on-track.in/api/preBookingData,bare axios · absolute URL,None,Submits pre Booking Data — called from assignVehicle(),"query: comment, id, km","(not read, or read indirectly)",1,components/assignVehicle.vue,,  dispatches: assignVehicle,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-041,Bookings,PUT,https://api.on-track.in/api/preBookingData,bare axios · absolute URL,None,"Updates pre Booking Data — called from saveUpdateBookingLineItem(), updateBookingLineItem()",query: id,"(not read, or read indirectly)",2,components/allbookingdetails.vue | components/assignVehicle.vue,,"  dispatches: get_booking_line_item, get_models, get_new_bookings","bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-042,Bookings,GET,operations/analytics/booking/source,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches source — called from loadSourceWise(),(none detected),"(not read, or read indirectly)",1,views/bookings/analytics/home.vue,,,,,,,Not started,
A-043,Bookings,GET,operations/analytics/booking/status,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches status — called from loadStatus(),(none detected),"(not read, or read indirectly)",1,views/bookings/analytics/home.vue,,,,,,,Not started,
A-044,Bookings,GET,operations/bookingLineItems,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches booking Line Items — called from getBookingLineData(), getBookingLineItemData(), getBookingLineItems()",query: booking,"data (raw), data.message",4,components/assignVehicle2.vue | components/endbooking.vue | store.js | views/bookings/preBookingData.vue,,"commits: GET_BOOKING_LINE_ITEM, LOADING_API, LOADING_CUSTOMER",called from 4 files; raw response.data consumed (no envelope),Migrated,GET /operations/bookingLineItems (unchanged),,Done (Phase 1 — Booking detail),"Ported to bookingDetail.api.js::fetchBookingLineItem(), used by ImagesTab.vue. Not exercised live this session."
A-045,Bookings,POST,operations/getBookingList,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits Booking List — called from getBookingList(), get_bookings()","query: limit · body: paymentStatus, searchTerm, status","data (raw), data.count, data.rows",3,components/customers/bookingHistory.vue | store.js,,"commits: GET_BOOKING, LOADING_API",POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-046,Bookings,POST,operations/getBookings,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits Bookings — called from fetchBookingData(), getBookingData(), getBookingDetails()","query: limit · body: bookingId, customer, deliveryType, location, paymentStatus, status, vehicle","bare array (not { count, rows }); same row shape as A-024 + embedded locationData/recoveryData — CONFIRMED live 2026-09-07",18,components/Recovery/BookingView.vue | components/Recovery/VehicleView.vue | components/allbookingdetails.vue | components/assignVehicle2.vue | components/endbooking.vue | components/newBookings.vue | pages/bookingConfirmed.vue | pages/paymentLink.vue | pages/paymentMethods.vue | store.js | views/bookings/preBookingData.vue | views/vehicles/vehicleDetails.vue,POST //getBookingByQuery | POST getBookingByQuery,"commits: GET_BOOKING_BY_CUSTOMER, GET_BOOKING_BY_ID, GET_BOOKING_BY_QUERY, GET_BOOKING_BY_VEHICLE, GET_COMPLETED_BOOKING_BY_VEHICLE, GET_NEW_BOOKING, LOADING_API, LOADING_COMPLETED, LOADING_CUSTOMER, LOADING_VEHICLE  dispatches: get_booking_line_item",POST used for a read; called from 12 files; raw response.data consumed (no envelope),Migrated,POST operations/getBookings (unchanged),,Done (Phase 2 — Home bookings feed),"Ported to ontrack-ops-v3 src/services/home/home.api.js::fetchHomeBookingsFeed() + src/pages/dashboard/HomePage.vue, with the fixed filter { status: 0, paymentStatus: 1, deliveryType: null, location: null } + limit=200 the old homepage-content.vue sends. Only this specific Home-feed use is wired — the endpoint's other 17 call sites (booking detail lookups etc.) are not. Also used with a `{ vehicle }` filter (instead of `{ bookingId }`) by vehicleDetail.api.js::fetchVehicleBookingHistory(), for VehicleDetailPage.vue's Booking History tab — confirmed live 2026-09-07."
A-047,Bookings,GET,outreach/funnel/bookings/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches bookings — called from searchBooking(),(none detected),"(not read, or read indirectly)",1,components/ExtendBookingv2.vue,,,,Migrated,GET outreach/funnel/bookings/:id (unchanged),,Done (Phase 1 — Extend booking),"Ported to ontrack-ops-v3 src/services/bookings/extendBooking.api.js::fetchExtendBookingSummary(), used by ExtendBookingPage.vue. CONFIRMED live 2026-09-07 — real status/vehicleData/modelData/dates rendered correctly; also confirmed the real backend rejects a non-extendable (status 0) booking with a clean error message."
A-048,Bookings,PUT,v2/bookingLineItemsData/:id/update,v2 · glacier.on-track.in/api,Bearer agentToken,Updates update — called from updateBookingLineItems(),"body: postComment, postKm","(not read, or read indirectly)",1,components/endbooking.vue,,,,Migrated (as-is),PUT /ops/v3/booking-line-items/:id,,Done,Ported to endBooking.api.js::updatePostBookingData(). Step 3 form confirmed live 2026-09-07 (renders blank/prefilled correctly); the PUT itself NOT fired live (mutating) — code-reviewed only.
A-049,Customers,POST,/operations/create/customer,v2 · glacier.on-track.in/api,Bearer agentToken,Submits customer — called from submitForm(),body: <payload> (variable — inspect at runtime),"data (raw), data.message",1,pages/createCustomer.vue,,,,,,,Not started,
A-050,Customers,GET,/operations/customer-activities,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches customer-activities — called from loadData(),"query: customerId, limit, offset","(not read, or read indirectly)",1,components/customers/activitiesHistory.vue,,,,,,,Not started,
A-051,Customers,GET,/operations/customer/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches customer — called from fetchCustomerDetails(),(none detected),"(not read, or read indirectly)",1,components/bookingForm.vue,,,,Migrated,GET /operations/customer/:id (unchanged),,"Done (Phase 1 — Create booking, Dynamic)","Ported to src/services/customers/customerDetail.api.js::fetchCustomer(), used by CreateBookingDynamicPage.vue. CONFIRMED live 2026-09-07 — real customer name/mobile/email/penaltyCharge rendered correctly."
A-052,Customers,POST,/operations/customer/:id,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits customer — called from assignVehicle(), dlnumber(), dlverify()","body: DLVerified, DLnumberVerified, IDVerified",data (raw),4,components/bookingDetails.vue,,,raw response.data consumed (no envelope),,,,Not started,
A-053,Customers,GET,/operations/customer/:id/address,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches address — called from loadCustomerAddresses(),query: customerId,"(not read, or read indirectly)",1,components/bookingForm.vue,,,,Migrated,GET /operations/customer/:id/address (unchanged),,"Done (Phase 1 — Create booking, Dynamic)","Ported to customerDetail.api.js::fetchCustomerAddresses(), used after adding a new address. Not exercised live this session (only the embedded addressBooks from A-051 were exercised)."
A-054,Customers,GET,customer/:id,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches customer — called from get_customer_detail(),(none detected),"(not read, or read indirectly)",2,store.js | store/modules/booking.js,,"commits: GET_CUSTOMER_DETAIL, LOADING_API",LEGACY backend,,,,Not started,
A-055,Customers,POST,https://api.on-track.in/api/customer,bare axios · absolute URL,None,Submits customer — called from savePenalty(),body: penaltyCharge,"(not read, or read indirectly)",1,components/allbookingdetails.vue,,  dispatches: get_customer_detail,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-056,Customers,POST,operations/customer/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits customer — called from updatePenalty(),body: penaltyCharge,"(not read, or read indirectly)",1,components/endbooking.vue,,,,Migrated (as-is),POST /ops/v3/customers/:id/penalty,,Done,"Ported to endBooking.api.js::updateCustomerPenalty(). Different real call shape than A-148 (PUT .../penalty/update/) despite similar purpose — both kept distinct, not consolidated, per ""verify actual shape, don't assume duplicates match"" rule. NOT fired live (mutating) — code-reviewed only."
A-057,Customers,POST,operations/customer/:id/add-address,v2 · glacier.on-track.in/api,Bearer agentToken,Submits add-address — called from onSubmit(),body: <this.form> (variable — inspect at runtime),"data (raw), data.message",1,components/customers/AddAddress.vue,,,,Migrated,POST operations/customer/:id/add-address (unchanged),,"Done (Phase 1 — Create booking, Dynamic)","Ported to customerDetail.api.js::addCustomerAddress(), used by AddAddressForm.vue (embedded in CreateBookingDynamicPage.vue). Not exercised live this session (mutating)."
